Artist,Lyrics,Key,Genre,Music,Song,Title,Guitar,Visits
Namal Udugama,Dharmarathna Perera,Eb minor | Beat,"New Pop, Request",Namal Udugama,අප හමුවීම වෙන්වීම දෝ ආදරේ මට රිදවන්නෙපා ආයේ සංසාරයේ මතු හැමදාම පැතුසේම ඔබ ආදරේ මේ අද වාගේ කඳුලින්ම වෙන්වී නොයන් // පෙම්වන්තියේ මා හැඬුවා දරා ප්‍රේමේ නමින් වේදනා ඒ සිත යාමේ සැමරුම් කියා ලියවේවි මගෙ චේතනා // රන් තාරකාවෝ දිලුණා එදා ගෙනදී නැවුම් කල්පනා මේ ආදරේ නාමයෙන් වේදනා මතුදා ගෙනේ ප්‍රාර්ථනා //,apa-hamuweema-wenweema,INTRO/INTER |Ebm| - | - | - | |Db |Bbm| B |F# | |Ebm|Db | B |Db | CHORUS Ebm Bbm Db Ebm B Bbm Db Ebm VERSE 1 Ebm Bbm B Db Ebm Ebm Bbm B Db Ebm Back To Chorus VERSE 2 Ebm Bbm B Db Ebm Ebm Bbm B Db Ebm Back To Chorus,2338
Chandralekha Perera,Dharmarathna Perera,D major | Beat,New Pop,Sarath Dasanayaka,කන්දෙ විහාරේ සීල සුගන්දේ පාවී එන්නේ ඝන්ඨා නාදේ දෝත පුරාලා නෙළුම් නෙලාලා පන්සල් යමුකෝ චූටි නංගියේ රතු ගුරු පාර ඉමේ කවුරුන් එනකන්දෝ සිරිමල් බලා හිඳින්නේ තනියෙන් බලා හිඳින්නේ මං නංගී එක්කං පංසල් යනවා එනවද සිරිමල් අයියේ පෙර සංසාර භවේ පැතුමකේ විලසින්දෝ අපි දැන් නෙළුම් පුදන්නේ සමිදුන් පිහිට යදින්නේ දෙන්නාට දෙගුරුන් අවසර දෙනවා සැක නැහැ සිරිමල් අයියේ,kande-vihare,INTRO/INTER | D | - | - | - | | D | C | D | - | | D | - | - | G | | A | - |A7 | D | | G |Em |A7 | D | CHORUS D G G C D D G G C D VERSE 1 D F#m D7 G A A7 D D7 G Em A A7 D Back To Chorus VERSE 2 D F#m D7 G A A7 D D7 G Em A A7 D Back To Chorus,621
Priya Sooriyasena,Dharmarathna Perera,E major,New Pop,Sarath Dasanayaka,ලිහිණින් රෑන පියා සලන්නේ මන්දාරම් වැහි පොද වැටෙන්නේ රුක්මල් හැන්දෑවේ පිපෙන්නේ සිහිනෙන්වත් නුඹ නෑ පෙනෙන්නේ ලිහිණින් රෑන පියා සලන්නේ මන්දාරම් වැහි පොද වැටෙන්නේ ගඟ දිය හඬන්නේ විහඟුන් අසන්නේ නුඹ කොතැනකද කියාලා නුඹ කොතැනකද කියාලා පෙර සේ මා සොයාලා මහ දේ ගිනි නිවාලා ගමට එන්න ඇවිත් යන්න රත්තරන් මට හිමි මනාලී පිට ගම් ගියාවේ විරසක නොවෙන් කියාලා විරසක නොවෙන් කියාලා සංසාරේ කොහේ හෝ ඉපදී මුණ ගැසීලා වෙන් නොවන්න පෙරුම් පුරමු රත්තරන්,lihinin-rana-piya,INTRO / INTER |E |- |- |- |- |- |- |- | |- |- |- |- |- |D |E |- | CHORUS E D		 E E D		 E E 		 A Bm7 D	 E INTER |E |- |D |- |C |- |E |- | |E |- |- |- |- |- |- |- | |- |- |- |- |- |D |E |- | VERSE 1 E E E7 A E E A E A E E D E VERSE 2 E E E7 A E E A E A E E D E,720
Sanath Nandasiri,Dharmarathna Perera,D major | Beat,New Pop,Nimal Jayakody,නුඹෙ සුවඳ පිරුණු පුංචි කාමරේ රතු රෝස මලක පෙති හැලී තියේ මට නපුරු වුණේ ඇයි දයාවියේ මේ කඳුළු බිංදු ප්‍රථම ප්‍රේමයේ මගෙ සමරු පොතේ රෝස පිටු සොයා මුතු අකුරු පේළියක් ලියු ඔයා ..// සිහිවටනයක් ලෙසින් තවත් තියේ සමනල පියාපතක් ද ජීවිතේ සිත දුරක ගියා ආදරේ සොයා මුතු කඳුළු බිංදුවක් ගලා ගියා සමු ගැන්ම වේදනාවකී ලොවේ මේ ඉන්ද්‍රචාපයක්ද ජීවිතේ,nube-suwanda-pirunu,INTRO/INTER | D |C#m|Bm | A | |C#m|Em |A7 | D | | D | - |Bm |Em | |Em | - |D/A| D | | D | - | - |Em | |Em | D | A | D | | D | - |Bm |Em | |Em | - |D/A| D | CHORUS Bm D Em Bm Em D Bm D Em Bm Em D VERSE 1 D G G Em D Bm D Em|Bm| D Back To Chorus VERSE 2 D G G Em D Bm D Em|Bm| D Back To Chorus,2504
Namal Udugama,Dharmarathna Perera,A Major | Beat,New Pop,Namal Udugama,වෙස්සන්තර බිසෝ නුඹව දන් දෙන්න බෑ නාටකේ රූ සෝබා අලංකාරේ උන්මාද වේ ජීවිතේ රන් පුන්සඳ වැනි බිසොවුන් රූ සිරි නැතිදා පලක් වේද සිංහාසනේ මන්දාරමේ දේදුන්න සේ පායාවි ඈ නාඩගම් මණ්ඩපේ රෑ තුන්යමේ මේ රංගනේ ආනන්ද වේ ප්‍රීති ඝෝෂා නැගේ// රජ මාළිගේ සම්පත් හැරා මා හා ගිය සේම දුරු මාවතේ සසරේ සරා පෙරුමන් පුරා ආලෙන් බැඳී එන්න මගෙ දේවියේ,wessanthara-biso,INTRO/INTER | A | - | |E7 | - | A | - | | A | - |E7 | - | | A | - | A | - | | E | - |A/D| A | | A | - |E7 | - | | A | - | CHORUS A E7 A F#m Bm E7 A D E E7 E7 A VERSE 1 A C#m A Bm E E7 A Back To Chorus VERSE 2 Ebm Bbm B E7 A Back To Chorus,1223
Namal Udugama,Dharmarathna Perera,Eb minor | Beat,"New Pop, Request",Namal Udugama,අප හමුවීම වෙන්වීම දෝ ආදරේ මට රිදවන්නෙපා ආයේ සංසාරයේ මතු හැමදාම පැතුසේම ඔබ ආදරේ මේ අද වාගේ කඳුලින්ම වෙන්වී නොයන් // පෙම්වන්තියේ මා හැඬුවා දරා ප්‍රේමේ නමින් වේදනා ඒ සිත යාමේ සැමරුම් කියා ලියවේවි මගෙ චේතනා // රන් තාරකාවෝ දිලුණා එදා ගෙනදී නැවුම් කල්පනා මේ ආදරේ නාමයෙන් වේදනා මතුදා ගෙනේ ප්‍රාර්ථනා //,apa-hamuweema-wenweema,INTRO/INTER |Ebm| - | - | - | |Db |Bbm| B |F# | |Ebm|Db | B |Db | CHORUS Ebm Bbm Db Ebm B Bbm Db Ebm VERSE 1 Ebm Bbm B Db Ebm Ebm Bbm B Db Ebm Back To Chorus VERSE 2 Ebm Bbm B Db Ebm Ebm Bbm B Db Ebm Back To Chorus,2338
Chandralekha Perera,Dharmarathna Perera,D major | Beat,New Pop,Sarath Dasanayaka,කන්දෙ විහාරේ සීල සුගන්දේ පාවී එන්නේ ඝන්ඨා නාදේ දෝත පුරාලා නෙළුම් නෙලාලා පන්සල් යමුකෝ චූටි නංගියේ රතු ගුරු පාර ඉමේ කවුරුන් එනකන්දෝ සිරිමල් බලා හිඳින්නේ තනියෙන් බලා හිඳින්නේ මං නංගී එක්කං පංසල් යනවා එනවද සිරිමල් අයියේ පෙර සංසාර භවේ පැතුමකේ විලසින්දෝ අපි දැන් නෙළුම් පුදන්නේ සමිදුන් පිහිට යදින්නේ දෙන්නාට දෙගුරුන් අවසර දෙනවා සැක නැහැ සිරිමල් අයියේ,kande-vihare,INTRO/INTER | D | - | - | - | | D | C | D | - | | D | - | - | G | | A | - |A7 | D | | G |Em |A7 | D | CHORUS D G G C D D G G C D VERSE 1 D F#m D7 G A A7 D D7 G Em A A7 D Back To Chorus VERSE 2 D F#m D7 G A A7 D D7 G Em A A7 D Back To Chorus,621
Priya Sooriyasena,Dharmarathna Perera,E major,New Pop,Sarath Dasanayaka,ලිහිණින් රෑන පියා සලන්නේ මන්දාරම් වැහි පොද වැටෙන්නේ රුක්මල් හැන්දෑවේ පිපෙන්නේ සිහිනෙන්වත් නුඹ නෑ පෙනෙන්නේ ලිහිණින් රෑන පියා සලන්නේ මන්දාරම් වැහි පොද වැටෙන්නේ ගඟ දිය හඬන්නේ විහඟුන් අසන්නේ නුඹ කොතැනකද කියාලා නුඹ කොතැනකද කියාලා පෙර සේ මා සොයාලා මහ දේ ගිනි නිවාලා ගමට එන්න ඇවිත් යන්න රත්තරන් මට හිමි මනාලී පිට ගම් ගියාවේ විරසක නොවෙන් කියාලා විරසක නොවෙන් කියාලා සංසාරේ කොහේ හෝ ඉපදී මුණ ගැසීලා වෙන් නොවන්න පෙරුම් පුරමු රත්තරන්,lihinin-rana-piya,INTRO / INTER |E |- |- |- |- |- |- |- | |- |- |- |- |- |D |E |- | CHORUS E D		 E E D		 E E 		 A Bm7 D	 E INTER |E |- |D |- |C |- |E |- | |E |- |- |- |- |- |- |- | |- |- |- |- |- |D |E |- | VERSE 1 E E E7 A E E A E A E E D E VERSE 2 E E E7 A E E A E A E E D E,720
Sanath Nandasiri,Dharmarathna Perera,D major | Beat,New Pop,Nimal Jayakody,නුඹෙ සුවඳ පිරුණු පුංචි කාමරේ රතු රෝස මලක පෙති හැලී තියේ මට නපුරු වුණේ ඇයි දයාවියේ මේ කඳුළු බිංදු ප්‍රථම ප්‍රේමයේ මගෙ සමරු පොතේ රෝස පිටු සොයා මුතු අකුරු පේළියක් ලියු ඔයා ..// සිහිවටනයක් ලෙසින් තවත් තියේ සමනල පියාපතක් ද ජීවිතේ සිත දුරක ගියා ආදරේ සොයා මුතු කඳුළු බිංදුවක් ගලා ගියා සමු ගැන්ම වේදනාවකී ලොවේ මේ ඉන්ද්‍රචාපයක්ද ජීවිතේ,nube-suwanda-pirunu,INTRO/INTER | D |C#m|Bm | A | |C#m|Em |A7 | D | | D | - |Bm |Em | |Em | - |D/A| D | | D | - | - |Em | |Em | D | A | D | | D | - |Bm |Em | |Em | - |D/A| D | CHORUS Bm D Em Bm Em D Bm D Em Bm Em D VERSE 1 D G G Em D Bm D Em|Bm| D Back To Chorus VERSE 2 D G G Em D Bm D Em|Bm| D Back To Chorus,2504
Namal Udugama,Dharmarathna Perera,A Major | Beat,New Pop,Namal Udugama,වෙස්සන්තර බිසෝ නුඹව දන් දෙන්න බෑ නාටකේ රූ සෝබා අලංකාරේ උන්මාද වේ ජීවිතේ රන් පුන්සඳ වැනි බිසොවුන් රූ සිරි නැතිදා පලක් වේද සිංහාසනේ මන්දාරමේ දේදුන්න සේ පායාවි ඈ නාඩගම් මණ්ඩපේ රෑ තුන්යමේ මේ රංගනේ ආනන්ද වේ ප්‍රීති ඝෝෂා නැගේ// රජ මාළිගේ සම්පත් හැරා මා හා ගිය සේම දුරු මාවතේ සසරේ සරා පෙරුමන් පුරා ආලෙන් බැඳී එන්න මගෙ දේවියේ,wessanthara-biso,INTRO/INTER | A | - | |E7 | - | A | - | | A | - |E7 | - | | A | - | A | - | | E | - |A/D| A | | A | - |E7 | - | | A | - | CHORUS A E7 A F#m Bm E7 A D E E7 E7 A VERSE 1 A C#m A Bm E E7 A Back To Chorus VERSE 2 Ebm Bbm B E7 A Back To Chorus,1223
Punsiri Soyza,Saman C Weerasinghe,A minor | Beat,Golden Pop,Stanley M Fernando,බිඳුවක් ඉවසා අහන්න හිතවත අහන්න හිතවත ඈ මගේ පෙම්වතියයි කිසිදා නොලබන පෙමක් පතා ඔබ ඇය රිදවනු වැරදියි ඇය රිදවනු වැරදියි මා ඇය හඳුනා ගන්නට පෙර සිට // ඔබ ඇය හඳුනා සිටි නමුදු ඔබට නොවේ ඈ මටයි පෙම් කලේ දුක් නොමදෙනු ලඳකට එබඳු කුරුළු කිරිල්ලන් කූඩු තැනූ පසු // සිඳ බිඳ වනසා ලනු හරි නෑ සොයුරු පෙමින් ඔබේ ඇසුර පැතූ ඈ වරදක පොළඹන සිත යුතු නෑ,binduwak-iwasa,INTRO |Am | - |Dm | - | |E7 | -|Am/E7|Am| |Am | G | C | G | |Am | C | F |Am | |Am | G |C/G|Am | CHORUS Am G E|E7 E7 Am G Am Dm G Dm Am INTER |Am | - |Dm | - | |E7 | -|Am/E7|Am| |Am | G | C | G | |Am | C | F |Am | |Am |Dm |Am | G | VERSE 1 G F Am Am Dm C Am F Dm G Am|F|Am Back To Chorus VERSE 2 G F Am Am Dm C Am F Dm G Am|F|Am Back To Chorus,892
"Dhammika Bandara, Keerthi Pasquel",Saman C Weerasinghe,Eb Major | Beat,Duets,Mahinda Bandara,කවිකාරියේ සින්දු කියනා ලදේ නුබදෝ රෑහේ කොකිලා මගෙ පඩුවේ යන්නට් යනවා ඔහේ අනේ ස්වමිා සෑන්දෑ වෙලා දෙකනේ රිදී තෝඩුලා නලලේ කොකුම් පාටලා වීණා වයා තාලෙටා ගෑයු ගී අසා ආවේ මා වීණා වයා කවි ගී ගයා අපි යන්නෙ රුපියල් සොයා හිගමන් නොයා මාවතේ මහදේ රෑදෙන් රූපිකා සසරේ ගෙනා ආදරේ අදුරයි දෝ ඔබේ සිතා දෙවි ස්වාමිනේ මන්දා අනේ හිත මාගේ චංචල් වෙලා,kawikariye,INTRO/INTER |Bbsus|B5b|Bbsus|B5b| |Ebm| - |Abm| - | |Bb7| B |Ebm| - | |Ebm| - | - | - | INTER|Ebm|Bbm| CHORUS Ebm D+ Gb Abm Db B Db Bsus VERSE 1 Bbm Ebm Db B Bbsus Bbm Ebm Db B Gb Abm Gb Db Bbsus Back To Chorus VERSE 2 Bbm Ebm Db B Bbsus Bbm Ebm Db B Gb Abm Gb Db Bbsus Back To Chorus,260
Edward Jayakody,Saman C Weerasinghe,A major,Old Pops,Sarath De Alwis,ලතා මඩුල්ලක් කතා කරනවා සෙවණට එන්න කියා මේ මල් උද්‍යානේ නවතිමු හැන්දෑවේ… වලා කැරැල්ලක් ඔහේ ඇදෙනවා බෑ නවතින්න කියා.. මේ මල් උද්‍යානේ වෙන් වෙමු රෑ බෝවේ... වෙන්වී යන්නේ රෑ තනි යානේ තනිකම නොදැනේදෝ... ඒ තනි යානේ තනිය මකන්නේ මතක සුවඳ නේදෝ ... උදයේ හමුවී හවසට වෙන්වී යළි හෙට හමුවේදෝ ... සදහට නැවතී ඉන්නට එන්නම් දෙසිතක් නෑ නේදෝ. රන් තරු යායේ සඳ පායන්නේ අප දැකලා නේදෝ ... ඒ හඳපානේ අප හමුවන්නේ හෙට දිනයේ නේදෝ... කල් බලමින්නේ දසැඟිලි ගැන්නේ හමුවන තුරු නේදෝ... මුදු පළඳින්නේ මුතු කරලන්නේ නැකැත් බලා නේදෝ...,latha-madullak,INTRO / INTER | A | - | D | - | E | - | A | - | | A | - | D | - | E | - |A/E|D/E| | A | - | CHORUS A	 D	 Bm A A C#m E E7 A A	 E D	 Bm E A A	 D E E7 A VERSE 1 A	 C#m D Bbm Bm A A7 D Bm E D A A	 C#m D Bbm Bm A A7 D Bm E D A VERSE 2 A	 C#m D Bbm Bm A A7 D Bm E D A A	 C#m D Bbm Bm A A7 D Bm E D A,783
Edward Jayakody,Saman C Weerasinghe,G major,New Pop,Sarath De Alwis,මල් මාලතී ලතා …….අඳුරේ මිලාන වී මේ පාළු රාත්‍රියේ නොපිපී බලා හිඳී// මල් මාලතී ලතා හැඬූ සිතේ විඩා නිවා ඇදේ මාරුතේ හැපී බිඳෙන ප්‍රේමයේ සෝ සුසුම් ලෙසේ// කිසිදාක නොමැත ආදරේට ලැබී ආදරේ.... ගැලූ සිනා ගඟේ ගිලී ගියෙද ආදරේ හඬා වැටේ ප්‍රාර්ථනා පෙම් උයන් තෙරේ.. කවදාක සුවද යලි දැනේද නැවුම් ස්නේහයේ..,mal-malathi-latha,INTRO | G | D7| G |D7 | | G | C | G | C | | G | C | G | - | CHORUS G Eb+ Em G G7 C D Am D C D7 G G Em G INTER | C | G | C | - | A | - | C | G | | G | - | C | - | D | - | G | - | | G | D |B7 |Em | C | D |Am | G | VERSE 1 G D7 G	 G	 C Bm Am 	 D C Ebdim G C		 D	 Bm D G VERSE 2 G D7 G	 G	 C Bm Am 	 D C Ebdim G C		 D	 Bm D G,725
Gunadasa Kapuge,Saman C Weerasinghe,F minor | Beat,Old Pops,Shelton Premarathna,නාඹර ගොයමට රහස් කියාලා ලා හිරු හිනැහේ…… කිරණ හලලා දෑසේ පෙම්බර රහස ලියාලා නාරිලතා මා……. අමතනවා මගෙ පියසටහන් හඳුනන ඔබෙ නෙත හිමිදිරියේ දුටු සුභ දසුනයි කම්මල මැද වෙහෙසෙන විට ගතසිත ඔබගැන මතකය මද පවනයි බලාපොරොත්තුව කිරිවැදිලා හෙට ගමේ කුඹුර මදහස පෙන්වයි මංගල සිරියෙන් කරල් කපන දා හිතාඉන්නෙ ඔබෙ අත ගන්නයි,nambara-goyamata,INTRO / INTER |Csus4|Fm | F |Fm | | Fm |Bbm| - |Fm | | Fm | - |Cm |Fm | |Csus4|Fm | F |Fm | CHORUS Fm C	 Fm Fm Fm/Bbm C Fm Fm C	 Fm Fm Fm/Bbm C Fm VERSE 1 Bb F Bb Fm C C F Bb F Bb Fm C C F VERSE 2 Bb F Bb Fm C C F Bb F Bb Fm C C F,782
Dayarathna Ranathunga,Saman C Weerasinghe,B major | Beat,Classics,Dayarathna Ranatunga,සමකෝණි ත්‍රිකෝණයකි ඔබත් මාත් ඇයත් තිදෙන// ඔබ එක මුල්ලක සිටියා ඇය තව මුල්ලක සිටියා// නෙත් සතරක පහස ලබා මම මේ මුල්ලේ සිටියා සමකෝණි ත්‍රිකෝණයකි ඔබත් මාත් ඇයත් තිදෙන// ඔබ මගෙ ආදරය පතයි ඇය මගෙ ආදරය පතයි// දෙන්නාටම මාත් හිතයි ත්‍රිකෝණයේ පාද සමයි// සමච්ජේදනය කරලා දෙන්නට බැහැ පෙම බෙදලා// අපි තුන් මුල්ලටම වෙලා ඉමු මුහුණට මුහුණ බලා//,samakoni-thrikonayaki,INTRO | B |Abm| B | - | | B | - |Abm| B | | B |Abm|F#m| - | | E | - | B | - | | B | A | E | A | | B | A | E | A | CHORUS B F# B B F# B B E F# B B F# B INTER |Abm| - | A | - | | E | - | B | - | | B | A | E | A | | B | A | E | A | VERSE 1 B Abm A B A|B B C#m F# B Back To Chorus VERSE 2 B Abm A B A|B B C#m F# B Back To Chorus,2130
Punsiri Soyza,Saman C Weerasinghe,A minor | Beat,Golden Pop,Stanley M Fernando,බිඳුවක් ඉවසා අහන්න හිතවත අහන්න හිතවත ඈ මගේ පෙම්වතියයි කිසිදා නොලබන පෙමක් පතා ඔබ ඇය රිදවනු වැරදියි ඇය රිදවනු වැරදියි මා ඇය හඳුනා ගන්නට පෙර සිට // ඔබ ඇය හඳුනා සිටි නමුදු ඔබට නොවේ ඈ මටයි පෙම් කලේ දුක් නොමදෙනු ලඳකට එබඳු කුරුළු කිරිල්ලන් කූඩු තැනූ පසු // සිඳ බිඳ වනසා ලනු හරි නෑ සොයුරු පෙමින් ඔබේ ඇසුර පැතූ ඈ වරදක පොළඹන සිත යුතු නෑ,binduwak-iwasa,INTRO |Am | - |Dm | - | |E7 | -|Am/E7|Am| |Am | G | C | G | |Am | C | F |Am | |Am | G |C/G|Am | CHORUS Am G E|E7 E7 Am G Am Dm G Dm Am INTER |Am | - |Dm | - | |E7 | -|Am/E7|Am| |Am | G | C | G | |Am | C | F |Am | |Am |Dm |Am | G | VERSE 1 G F Am Am Dm C Am F Dm G Am|F|Am Back To Chorus VERSE 2 G F Am Am Dm C Am F Dm G Am|F|Am Back To Chorus,892
"Dhammika Bandara, Keerthi Pasquel",Saman C Weerasinghe,Eb Major | Beat,Duets,Mahinda Bandara,කවිකාරියේ සින්දු කියනා ලදේ නුබදෝ රෑහේ කොකිලා මගෙ පඩුවේ යන්නට් යනවා ඔහේ අනේ ස්වමිා සෑන්දෑ වෙලා දෙකනේ රිදී තෝඩුලා නලලේ කොකුම් පාටලා වීණා වයා තාලෙටා ගෑයු ගී අසා ආවේ මා වීණා වයා කවි ගී ගයා අපි යන්නෙ රුපියල් සොයා හිගමන් නොයා මාවතේ මහදේ රෑදෙන් රූපිකා සසරේ ගෙනා ආදරේ අදුරයි දෝ ඔබේ සිතා දෙවි ස්වාමිනේ මන්දා අනේ හිත මාගේ චංචල් වෙලා,kawikariye,INTRO/INTER |Bbsus|B5b|Bbsus|B5b| |Ebm| - |Abm| - | |Bb7| B |Ebm| - | |Ebm| - | - | - | INTER|Ebm|Bbm| CHORUS Ebm D+ Gb Abm Db B Db Bsus VERSE 1 Bbm Ebm Db B Bbsus Bbm Ebm Db B Gb Abm Gb Db Bbsus Back To Chorus VERSE 2 Bbm Ebm Db B Bbsus Bbm Ebm Db B Gb Abm Gb Db Bbsus Back To Chorus,260
Edward Jayakody,Saman C Weerasinghe,A major,Old Pops,Sarath De Alwis,ලතා මඩුල්ලක් කතා කරනවා සෙවණට එන්න කියා මේ මල් උද්‍යානේ නවතිමු හැන්දෑවේ… වලා කැරැල්ලක් ඔහේ ඇදෙනවා බෑ නවතින්න කියා.. මේ මල් උද්‍යානේ වෙන් වෙමු රෑ බෝවේ... වෙන්වී යන්නේ රෑ තනි යානේ තනිකම නොදැනේදෝ... ඒ තනි යානේ තනිය මකන්නේ මතක සුවඳ නේදෝ ... උදයේ හමුවී හවසට වෙන්වී යළි හෙට හමුවේදෝ ... සදහට නැවතී ඉන්නට එන්නම් දෙසිතක් නෑ නේදෝ. රන් තරු යායේ සඳ පායන්නේ අප දැකලා නේදෝ ... ඒ හඳපානේ අප හමුවන්නේ හෙට දිනයේ නේදෝ... කල් බලමින්නේ දසැඟිලි ගැන්නේ හමුවන තුරු නේදෝ... මුදු පළඳින්නේ මුතු කරලන්නේ නැකැත් බලා නේදෝ...,latha-madullak,INTRO / INTER | A | - | D | - | E | - | A | - | | A | - | D | - | E | - |A/E|D/E| | A | - | CHORUS A	 D	 Bm A A C#m E E7 A A	 E D	 Bm E A A	 D E E7 A VERSE 1 A	 C#m D Bbm Bm A A7 D Bm E D A A	 C#m D Bbm Bm A A7 D Bm E D A VERSE 2 A	 C#m D Bbm Bm A A7 D Bm E D A A	 C#m D Bbm Bm A A7 D Bm E D A,783
Edward Jayakody,Saman C Weerasinghe,G major,New Pop,Sarath De Alwis,මල් මාලතී ලතා …….අඳුරේ මිලාන වී මේ පාළු රාත්‍රියේ නොපිපී බලා හිඳී// මල් මාලතී ලතා හැඬූ සිතේ විඩා නිවා ඇදේ මාරුතේ හැපී බිඳෙන ප්‍රේමයේ සෝ සුසුම් ලෙසේ// කිසිදාක නොමැත ආදරේට ලැබී ආදරේ.... ගැලූ සිනා ගඟේ ගිලී ගියෙද ආදරේ හඬා වැටේ ප්‍රාර්ථනා පෙම් උයන් තෙරේ.. කවදාක සුවද යලි දැනේද නැවුම් ස්නේහයේ..,mal-malathi-latha,INTRO | G | D7| G |D7 | | G | C | G | C | | G | C | G | - | CHORUS G Eb+ Em G G7 C D Am D C D7 G G Em G INTER | C | G | C | - | A | - | C | G | | G | - | C | - | D | - | G | - | | G | D |B7 |Em | C | D |Am | G | VERSE 1 G D7 G	 G	 C Bm Am 	 D C Ebdim G C		 D	 Bm D G VERSE 2 G D7 G	 G	 C Bm Am 	 D C Ebdim G C		 D	 Bm D G,725
Gunadasa Kapuge,Saman C Weerasinghe,F minor | Beat,Old Pops,Shelton Premarathna,නාඹර ගොයමට රහස් කියාලා ලා හිරු හිනැහේ…… කිරණ හලලා දෑසේ පෙම්බර රහස ලියාලා නාරිලතා මා……. අමතනවා මගෙ පියසටහන් හඳුනන ඔබෙ නෙත හිමිදිරියේ දුටු සුභ දසුනයි කම්මල මැද වෙහෙසෙන විට ගතසිත ඔබගැන මතකය මද පවනයි බලාපොරොත්තුව කිරිවැදිලා හෙට ගමේ කුඹුර මදහස පෙන්වයි මංගල සිරියෙන් කරල් කපන දා හිතාඉන්නෙ ඔබෙ අත ගන්නයි,nambara-goyamata,INTRO / INTER |Csus4|Fm | F |Fm | | Fm |Bbm| - |Fm | | Fm | - |Cm |Fm | |Csus4|Fm | F |Fm | CHORUS Fm C	 Fm Fm Fm/Bbm C Fm Fm C	 Fm Fm Fm/Bbm C Fm VERSE 1 Bb F Bb Fm C C F Bb F Bb Fm C C F VERSE 2 Bb F Bb Fm C C F Bb F Bb Fm C C F,782
Dayarathna Ranathunga,Saman C Weerasinghe,B major | Beat,Classics,Dayarathna Ranatunga,සමකෝණි ත්‍රිකෝණයකි ඔබත් මාත් ඇයත් තිදෙන// ඔබ එක මුල්ලක සිටියා ඇය තව මුල්ලක සිටියා// නෙත් සතරක පහස ලබා මම මේ මුල්ලේ සිටියා සමකෝණි ත්‍රිකෝණයකි ඔබත් මාත් ඇයත් තිදෙන// ඔබ මගෙ ආදරය පතයි ඇය මගෙ ආදරය පතයි// දෙන්නාටම මාත් හිතයි ත්‍රිකෝණයේ පාද සමයි// සමච්ජේදනය කරලා දෙන්නට බැහැ පෙම බෙදලා// අපි තුන් මුල්ලටම වෙලා ඉමු මුහුණට මුහුණ බලා//,samakoni-thrikonayaki,INTRO | B |Abm| B | - | | B | - |Abm| B | | B |Abm|F#m| - | | E | - | B | - | | B | A | E | A | | B | A | E | A | CHORUS B F# B B F# B B E F# B B F# B INTER |Abm| - | A | - | | E | - | B | - | | B | A | E | A | | B | A | E | A | VERSE 1 B Abm A B A|B B C#m F# B Back To Chorus VERSE 2 B Abm A B A|B B C#m F# B Back To Chorus,2130
Punsiri Soyza,Saman C Weerasinghe,Bb major | Beat,Old Pops,H.R.Chandrasena,සෙව්වන්දියකට පෙම් බැන්දා ආශා දහසක් රස වින්දා නටු අග කටු මත කටුක බව දැනී හදවත පාරයි වේදනා// නව යවුවන හද පෙම් උයනේ දහසක්මල් මට හිනැහෙනවා මටම නොතේරෙන කරුණක් වේ සෙව්වන්දියටම සිත යනවා රැව ලස්සන නෙත් දෙකට පෙනේ සුවඳක් නැහැයට ලංවෙනවා එනමුදු කටු අග විෂ මතුවේ සෙව්වන්දිය හිත රිදවනවා,sewwandiyakata,INTRO Saxophone Ad lib CHORUS Bb Eb Bb Bb F F7 Bb Bb Eb Bb F F7 Bb INTER |Bb | - |F7 | F | |Eb | - | F | - | |Bb | - | - | - | VERSE 1 Bb Cm Eb F7 Bb Bb G7 Cm Eb F7 Bb Back To Chorus VERSE 2 Bb Cm Eb F7 Bb Bb G7 Cm Eb F7 Bb Back To Chorus,856
Gunadasa Kapuge,Sunil Ariyarathna,F minor | Beat,"Classics, Old Pops",Gunadasa Kapuge,අභිසාරිකාවන්ගේ උන්මාද නෙතු අතරේ අයාලේ ගිය ජීවිතේ ඔබෙනි ඵල ගැනුනේ අභිසාරිකාවන්ගේ රාග ගිනි ජාලාවේ ප්‍රේමයේ උණුසුම් සුසුමේ වෙනස ඔබෙනි දැනුනේ…..ඒ අයාලේ ගිය ජීවිතේ ඔබෙනි ඵල ගැනුනේ ආදරය යන වදනේ මනු‍ලොවේ මිනිසත් භවයේ මහිම ඔබෙනි හැඟුනේ….ඒ අයාලේ ගිය ජීවිතේ ඔබෙනි ඵල ගැනුනේ,abhisarikawange,INTRO |Fm|-	| - |- | ||Fm|-	|Eb|-	|C#|-	|Fm|-	|| |Fm| + | CHORUS Fm		 Eb		 C# Fm	 Eb Ab	 Eb C# Fm Ab Fm INTER |Ab|- |C#|- | |Fm|- |Eb|- |C#|- |Fm|Ab| VERSE 1 Fm Bbm Fm Fm Eb Ab Eb Fm Eb Fm Fm	 Eb Ab	 Eb C# Fm VERSE 2 Fm Bbm Fm Fm Eb Ab Eb Fm Eb Fm Fm	 Eb Ab	 Eb C# Fm,2767
